Year,Visitor Count,Change
1904,120690,14.376321353065538
1905,140954,-361.10111550917594
1906,30569,7.18384697130712
1907,32935,22.991488963711184
1908,42768,29.772245849685547
1909,60899,64.88270978456428
1910,173416,10.705587337222653
1911,194207,2.0808333417366662
1912,198334,8.539886466869262
1913,216853,-3.4145155060016306
1914,209693,33.28232033827661
1915,314299,3.7386755526697826
1916,326506,28.00276958222528
1917,453498,-3.9603688030406534
1918,436222,44.158437641613055
1919,781178,23.570601834865975
1920,1022091,7.225761711250915
1921,1101697,3.1005788298331765
1922,1136949,16.647434355993738
1923,1364024,10.731355190677482
1924,1527999,19.60011554860066
1925,1900499,12.121342433322235
1926,2162640,12.268190038530534
1927,2465058,8.828284240461315
1928,2703753,10.201526979200986
1929,3010912,0.9221322601503487
1930,3038935,5.554913269647577
1931,3217674,9.409398108328395
1932,3551885,-9.097965281642812
1933,3255684,46.586109301399574
1934,6095201,18.027427024289306
1935,7435659,36.716664723369526
1936,11749790,20.816260789398488
1937,14838640,7.371292818875616
1938,16019483,-5.801790789425714
1939,15141032,7.733726715932117
1940,16410148,19.902177084097513
1941,20487633,-130.41831548013016
1942,8891495,-39.28842942749549
1943,6383513,17.352582087291342
1944,7723790,28.849377295370072
1945,10855548,48.10430360208227
1946,20918012,13.770477490244975
1947,24258527,7.743996482954136
1948,26294795,9.7169367849166
1949,29124837,10.950028025291374
1950,32706172,10.671037624759041
1951,36613178,12.417701972521352
1952,41804313,8.483935793524633
1953,45679754,4.769962349742952
1954,47967800,1.8882820969094518
1955,48891000,9.246158957976393
1956,53872100,7.469005815810899
1957,58220600,0.421093680516122
1958,58466800,6.950377184326957
1959,62834000,12.22585421730506
1960,71586000,9.308928103134395
1961,78933900,10.857803029533034
1962,88548300,13.153713522388236
1963,101959800,6.621925207642071
1964,109190300,7.982471294638155
1965,118662500,8.214284885533264
1966,129282100,4.528402486592987
1967,135414200,6.89950807668641
1968,145449500,8.581835094765356
1969,159103500,5.371632692995097
1970,168135100,-11.152385145578565
1971,151265400,7.288195058821076
1972,163156569,2.0505996495215593
1973,166572300,1.2533308830285768
1974,168686500,10.314021746469827
1975,188085700,12.66443412373154
1976,215359800,-2.8605735475754472
1977,209370600,5.316884648171969
1978,221127705,-7.672944310043256
1979,205369795,6.846228870357876
1980,220463211,7.598497504548223
1981,238592669,2.5852489063582307
1982,244924579,-0.5357467514614477
1983,243619396,2.076532922180769
1984,248785509,5.5633914416499906
1985,263441808,6.280101538679915
1986,281094850,2.141080973671124
1987,287244998,-1.69712605573147
1988,282451441,-4.8446963239996315
1989,269399837,-5.406640067528841
1990,255581467,4.577167814401708
1991,267840999,2.4949712416754215
1992,274694549,-0.5761638365863033
1993,273120925,-1.669453527681896
1994,268636169,0.3443104208896618
1995,269564307,-1.4176818647303047
1996,265796163,3.42984221178501
1997,275236335,4.019332878403649
1998,286762265,0.12837839012083405
1999,287130879,-0.43359280551671264
2000,285891275,-2.1500212920870663
2001,279873926,-23.129816874518365
2002,227299880,14.622832736275049
2003,266230290,3.8561666707781357
2004,276908337,-1.2503570942118931
2005,273488751,-0.3172028374026379
2006,272623980,1.0732093756625876
2007,275581547,-0.2650864772056712
2008,274852949,3.7562133959541644
2009,285579941,-1.5201260954310214
2010,281303769,-0.8476947178341534
2011,278939216,1.3532285717755523
2012,282765682,-3.3383609698020393
2013,273630895,6.5468516501303435
2014,292800082,4.702131558852804
2015,307247252,7.168116726745169
2016,330971689,-0.02687900766395647
2017,330882751,-3.981912891341159
2018,318211833,2.8410118632789136
2019,327516619,-38.155164987029764
2020,237064332,20.211363257279228
2021,297115406,4.766429293406943
2022,311985998,0.0
