Year,Visitor Count
1904,120690
1905,140954
1906,30569
1907,32935
1908,42768
1909,60899
1910,173416
1911,194207
1912,198334
1913,216853
1914,209693
1915,314299
1916,326506
1917,453498
1918,436222
1919,781178
1920,1022091
1921,1101697
1922,1136949
1923,1364024
1924,1527999
1925,1900499
1926,2162640
1927,2465058
1928,2703753
1929,3010912
1930,3038935
1931,3217674
1932,3551885
1933,3255684
1934,6095201
1935,7435659
1936,11749790
1937,14838640
1938,16019483
1939,15141032
1940,16410148
1941,20487633
1942,8891495
1943,6383513
1944,7723790
1945,10855548
1946,20918012
1947,24258527
1948,26294795
1949,29124837
1950,32706172
1951,36613178
1952,41804313
1953,45679754
1954,47967800
1955,48891000
1956,53872100
1957,58220600
1958,58466800
1959,62834000
1960,71586000
1961,78933900
1962,88548300
1963,101959800
1964,109190300
1965,118662500
1966,129282100
1967,135414200
1968,145449500
1969,159103500
1970,168135100
1971,151265400
1972,163156569
1973,166572300
1974,168686500
1975,188085700
1976,215359800
1977,209370600
1978,221127705
1979,205369795
1980,220463211
1981,238592669
1982,244924579
1983,243619396
1984,248785509
1985,263441808
1986,281094850
1987,287244998
1988,282451441
1989,269399837
1990,255581467
1991,267840999
1992,274694549
1993,273120925
1994,268636169
1995,269564307
1996,265796163
1997,275236335
1998,286762265
1999,287130879
2000,285891275
2001,279873926
2002,227299880
2003,266230290
2004,276908337
2005,273488751
2006,272623980
2007,275581547
2008,274852949
2009,285579941
2010,281303769
2011,278939216
2012,282765682
2013,273630895
2014,292800082
2015,307247252
2016,330971689
2017,330882751
2018,318211833
2019,327516619
2020,237064332
2021,297115406
2022,311985998
